task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff
sugar,3.0,mag,0,0,14687178,1.0,1.0,567,29.3,29.3,1.0,7.887331614684398,101096,101096,1.0,1.0,1.0,0.0
sugar,3.0,mag,1,0,7382052,0.5026188148601454,0.861628670832863,537,29.3,37.8,1.2901023890784982,5.723635208501674,101096,101599,0.7468436247683888,0.9864532682238668,0.9864150517716056,0.9825492308355238
sugar,3.0,act,1,0,7382052,0.5026188148601454,0.8357363848322712,559,29.3,30.8,1.0511945392491469,5.723635208501674,101096,101153,0.7521203143003179,0.9997861425849246,0.9997948802024073,0.2294782164236643
sugar,3.0,rand,1,0,7382052,0.5026188148601454,0.5028932368158975,515,29.3,32.1,1.0955631399317407,12.477579893553076,101096,108746,0.727023579276573,0.8499426950727769,0.8515030963159074,2.833320439488088
sugar,3.0,rand,1,1,7382052,0.5026188148601454,0.5027530684141701,520,29.3,11.7,0.3993174061433446,1.268857754044952,101096,108623,0.7271057746154099,0.853210384274461,0.8546743117106116,2.831610501696479
sugar,3.0,rand,1,2,7382052,0.5026188148601454,0.5024544150101113,519,29.3,26.6,0.907849829351536,3.2924155266308657,101096,108465,0.7261741981186471,0.8533343039866675,0.8542553348161042,2.803726462496499
sugar,3.0,mag,3,0,3428019,0.2334021552676763,0.686400230906606,595,29.3,38.4,1.310580204778157,4.223742416388576,101096,102123,0.7430674088877833,0.9628184082595111,0.9627244459553512,1.354629589919974
sugar,3.0,act,3,0,3428019,0.2334021552676763,0.582370690529592,533,29.3,34.6,1.180887372013652,7.964923100695951,101096,102533,0.7541823883117107,0.9997601446880512,0.9997695298084552,0.2626367567753829
sugar,3.0,rand,3,0,3428019,0.2334021552676763,0.233949453645353,510,29.3,2.8,0.0955631399317406,1.661324772583615,101096,111935,0.72062838219853,0.6842393534016975,0.6852606659502914,3.8068508198045374
sugar,3.0,rand,3,1,3428019,0.2334021552676763,0.2333254769575554,504,29.3,1.1,0.0375426621160409,0.5385164807134504,101096,112348,0.7224894283224119,0.6946425263356166,0.6962813808001156,3.8048952516220655
sugar,3.0,rand,3,2,3428019,0.2334021552676763,0.2334372896704468,510,29.3,26.5,0.9044368600682594,26.424420523447623,101096,112173,0.7226619925364696,0.710519841129554,0.7125318259267579,3.7154108980468816
sugar,3.0,mag,10,0,895137,0.060946834034421,0.4067287727599152,512,29.3,47.9,1.6348122866894197,18.74806656698232,101096,105713,0.7329685431295982,0.8830124768472277,0.882988783391219,2.2639058807756123
sugar,3.0,act,10,0,895137,0.060946834034421,0.1952074945998702,537,29.3,34.4,1.174061433447099,6.2,101096,104463,0.7550844418640392,0.9884671691171536,0.9884245437415424,0.739642424138932
sugar,3.0,rand,10,0,895137,0.060946834034421,0.0610431305938202,577,29.3,0.4,0.0136518771331058,0.4898979485566356,101096,112040,0.7152974504249292,0.0366818708248531,0.0478448014713246,4.165728013134174
sugar,3.0,rand,10,1,895137,0.060946834034421,0.0608190316261396,529,29.3,0.6,0.0204778156996587,0.66332495807108,101096,112403,0.7174448162687431,0.0240426673358075,0.0326928273036602,4.163854656026771
sugar,3.0,rand,10,2,895137,0.060946834034421,0.0610677737141779,515,29.3,0.4,0.0136518771331058,0.4898979485566356,101096,112452,0.7178251671184832,0.0320279058657655,0.0395913424482799,4.163830009733495
sugar,3.0,mag,20,0,323821,0.0220478705984226,0.2519982378937735,519,29.3,35.7,1.218430034129693,29.96681497923996,101096,108614,0.725184685499926,0.7938256332264635,0.7940955591256649,2.914403823689103
sugar,3.0,act,20,0,323821,0.0220478705984226,0.1055043960883242,684,29.3,34.3,1.1706484641638224,7.62954782408499,101096,106406,0.7458268829507976,0.9633166809265714,0.9631737430927048,1.3201092077808445
sugar,3.0,rand,20,0,323821,0.0220478705984226,0.0221386140856855,612,29.3,0.2,0.0068259385665529,0.4000000000000001,101096,112118,0.7170721493400337,-0.0041624621054711,0.0047055384525207,4.16977925958139
sugar,3.0,rand,20,1,323821,0.0220478705984226,0.0218883377218986,589,29.3,0.3,0.0102389078498293,0.6403124237432849,101096,112123,0.7174443612111253,0.010852501280369,0.0200169707443604,4.170234959604991
sugar,3.0,rand,20,2,323821,0.0220478705984226,0.0220462544739528,557,29.3,0.4,0.0136518771331058,0.4898979485566356,101096,112201,0.7176160796250665,0.0005172201364974,0.0100610562718398,4.169374788616707
sugar,3.0,mag,31,0,150088,0.0102189814816706,0.1696945914260617,569,29.3,22.2,0.757679180887372,6.4621977685614045,101096,111154,0.7235778959762881,0.7077259148517822,0.708172140659993,3.3448040927362053
sugar,3.0,act,31,0,150088,0.0102189814816706,0.0692288137212894,872,29.3,41.1,1.4027303754266212,1.757839583124695,101096,107412,0.7334641348807821,0.9363717359358298,0.9361874537078996,1.6177305377273783
sugar,3.0,rand,31,0,150088,0.0102189814816706,0.0101525678121941,672,29.3,0.2,0.0068259385665529,0.4000000000000001,101096,111960,0.7160761318695481,-0.0059297451992006,0.0039541044275533,4.170627371066345
sugar,3.0,rand,31,1,150088,0.0102189814816706,0.0103111285812292,1348,29.3,0.1,0.0034129692832764,0.3,101096,112201,0.7168971457089042,0.0020674997937244,0.0118207122465294,4.168576235169116
sugar,3.0,rand,31,2,150088,0.0102189814816706,0.0102892698872301,1531,29.3,0.2,0.0068259385665529,0.4000000000000001,101096,112184,0.7162905977403676,-0.0069925401583276,0.0020402532338193,4.166985064537934
sugar,3.5,mag,0,0,14687178,1.0,1.0,613,37.0,37.0,1.0,25.4911749434976,118370,118370,1.0,1.0,1.0,0.0
sugar,3.5,mag,1,0,7382052,0.5026188148601454,0.861628670832863,606,37.0,38.2,1.0324324324324323,22.5290923030645,118370,118360,0.9332788893425888,0.9866713082337728,0.9866561813178528,0.9740285830951408
sugar,3.5,act,1,0,7382052,0.5026188148601454,0.828897852637133,597,37.0,44.7,1.2081081081081082,28.62883162128696,118370,118223,0.9336286440497888,0.9996203116584476,0.9996222739432038,0.3441396895968355
sugar,3.5,rand,1,0,7382052,0.5026188148601454,0.5028932368158975,556,37.0,35.5,0.9594594594594594,8.114801291467339,118370,123764,0.9255035745242582,0.8538841549111937,0.8547487888439217,3.026851476330208
