task,noise,method,k,seed,n_edges,frac_edges,frac_syn,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,wall_s
sugar,0.0,mag,1,0,7382052,0.5026188148601454,0.861628670832863,68.33333333333333,71.0,1.0390243902439025,4.96655480858378,361,350,0.9112903225806452,0.9968707832498744,0.996811227101331,1.2804659498207889,168
sugar,0.0,rand,1,0,7382052,0.5026188148601454,0.5028932368158975,68.33333333333333,8.0,0.1170731707317073,0.816496580927726,361,65,0.1767955801104972,0.582107563334759,0.5825302187754878,18.41896869244936,358
sugar,0.0,rand,1,1,7382052,0.5026188148601454,0.5027530684141701,68.33333333333333,1.6666666666666667,0.024390243902439,0.4714045207910317,361,45,0.1215469613259668,0.5867546984751825,0.587147674101033,18.18324125230203,189
sugar,0.0,rand,1,2,7382052,0.5026188148601454,0.5024544150101113,68.33333333333333,8.0,0.1170731707317073,0.816496580927726,361,84,0.2292817679558011,0.608542219086322,0.6093328920545599,17.460405156537753,186
sugar,0.0,dp,1,0,7382052,0.5026188148601454,0.861628670832863,68.33333333333333,0.0,0.0,0.0,361,62,0.0023696682464454,-0.2077042347524303,-0.0189527156158649,18.955766192733016,199
sugar,0.0,dp,1,1,7382052,0.5026188148601454,0.861628670832863,68.33333333333333,0.0,0.0,0.0,361,64,0.0,-0.2236711054402039,,18.94274509803921,191
sugar,0.0,dp,1,2,7382052,0.5026188148601454,0.861628670832863,68.33333333333333,0.0,0.0,0.0,361,66,0.0,-0.2103548790131212,,18.737704918032787,274
sugar,0.0,act,1,0,7382052,0.5026188148601454,0.8611147073987455,68.33333333333333,62.0,0.9073170731707316,1.4142135623730951,361,343,0.9182561307901907,0.997733555231001,0.9977181644054924,1.079927338782925,308
sugar,0.0,mag,2,0,4770900,0.3248343555174452,0.7627094809660686,68.33333333333333,71.0,1.0390243902439025,4.320493798938574,361,339,0.8970189701897019,0.9889767937741912,0.9888519951653996,2.523035230352304,180
sugar,0.0,rand,2,0,4770900,0.3248343555174452,0.3251295103942352,68.33333333333333,0.0,0.0,0.0,361,37,0.0994475138121546,0.4865648289563322,0.4868085428616258,19.380294659300183,264
sugar,0.0,rand,2,1,4770900,0.3248343555174452,0.3247583482547964,68.33333333333333,0.0,0.0,0.0,361,26,0.0690607734806629,0.5156518823204111,0.5177031553632286,19.42817679558011,399
sugar,0.0,rand,2,2,4770900,0.3248343555174452,0.3247394444622391,68.33333333333333,0.0,0.0,0.0,361,23,0.0607734806629834,0.4883397296182578,0.4926934880753466,19.85635359116022,263
sugar,0.0,dp,2,0,4770900,0.3248343555174452,0.7627094809660686,68.33333333333333,0.0,0.0,0.0,361,67,0.0,-0.2168259134280237,,18.805295950155763,445
sugar,0.0,dp,2,1,4770900,0.3248343555174452,0.7627094809660686,68.33333333333333,0.0,0.0,0.0,361,89,0.0,-0.254610476609426,,18.155555555555555,287
sugar,0.0,dp,2,2,4770900,0.3248343555174452,0.7627094809660686,68.33333333333333,0.0,0.0,0.0,361,76,0.0,-0.2115178628658355,,18.33867276887872,129
sugar,0.0,act,2,0,4770900,0.3248343555174452,0.7615428063217995,68.33333333333333,62.333333333333336,0.9121951219512195,10.077477638553985,361,357,0.9095744680851064,0.998562827562862,0.998516702601964,0.8900709219858155,168
sugar,0.0,mag,3,0,3428019,0.2334021552676763,0.686400230906606,68.33333333333333,61.333333333333336,0.8975609756097562,5.436502143433364,361,316,0.8497267759562842,0.976264589096516,0.9761526472591736,4.413479052823315,338
