k,seed,n_keep,frac_edges,mass_mag,mass_randm,overlap_frac_of_mag,mass_overlap_frac_of_mag,weak_edges_in_randm,strong_kept_ge31,strong_kept_gt10
1,0,7382052,0.5026188148601454,0.861628670832863,0.7890017962201847,0.7075062597770918,0.8682427583420895,0.2924937402229082,1.0,0.9936814141299042
1,1,7382052,0.5026188148601454,0.861628670832863,0.7888043292488324,0.7072338422975075,0.8679693706408913,0.2927661577024925,0.9999866744843026,0.9935663479445046
1,2,7382052,0.5026188148601454,0.861628670832863,0.7889760165992725,0.7075440541464623,0.8682189721172024,0.29245594585353774,0.9999866744843026,0.9937752545141135
2,0,4770900,0.3248343555174452,0.7627094809660686,0.6494762749732027,0.6081085329811985,0.7866598516885461,0.3918914670188015,0.9987274132508928,0.9325019522151358
2,1,4770900,0.3248343555174452,0.7627094809660686,0.6494978495420632,0.6082454044310298,0.7867261107197849,0.3917545955689702,0.9989272959863547,0.9324069946834954
2,2,4770900,0.3248343555174452,0.7627094809660686,0.6497396210933669,0.6086509882831331,0.7870856181171662,0.3913490117168668,0.9986940994616492,0.9330806345844267
3,0,3428019,0.23340215526767633,0.686400230906606,0.5489618929280476,0.5440737055424723,0.7234237531295562,0.4559262944575278,0.9873074462981717,0.831176680217665
3,1,3428019,0.23340215526767633,0.686400230906606,0.5491044100975877,0.5446308786503226,0.723717453870936,0.45536912134967744,0.9870209477106764,0.8311576887113369
3,2,3428019,0.23340215526767633,0.686400230906606,0.5490997125619622,0.5445637845064453,0.7237109136965766,0.45543621549355473,0.9876072704013645,0.831019162429885
5,0,2071412,0.14103539835903126,0.5733365339714506,0.4118370775691367,0.4580001467597948,0.6272680245173518,0.5419998532402053,0.9125446404775864,0.6317055378115305
5,1,2071412,0.14103539835903126,0.5733365339714506,0.4120205655836681,0.45820628633994587,0.6274972725790839,0.5417937136600541,0.9125912797825276,0.6316541490297016
5,2,2071412,0.14103539835903126,0.5733365339714506,0.4118823671162353,0.4582000104276696,0.6273901315696881,0.5417999895723303,0.9127178721816535,0.6316005259530105
10,0,895137,0.06094683403442104,0.40672877275991526,0.23667338029113696,0.3370165684135501,0.47413081694647324,0.6629834315864499,0.6326355204946431,0.3370165684135501
10,1,895137,0.06094683403442104,0.40672877275991526,0.23658439229771602,0.337312612482782,0.4739290723305676,0.662687387517218,0.6317626992164597,0.337312612482782
10,2,895137,0.06094683403442104,0.40672877275991526,0.23682597443226067,0.3377326599168619,0.47463480592000296,0.6622673400831381,0.6337415382975321,0.3377326599168619
