k,pre_class,post_class,all,removed,frac_removed
2,ascending,ascending,11782,8661,0.7351043965370905
2,ascending,central,117295,68313,0.5824033420009378
2,ascending,descending,25701,14264,0.5549978600054473
2,ascending,endocrine,344,195,0.5668604651162791
2,ascending,motor,1358,733,0.5397643593519882
2,ascending,optic,302,260,0.8609271523178808
2,ascending,sensory,6400,4580,0.715625
2,ascending,sensory_ascending,711,405,0.569620253164557
2,ascending,unknown,33394,19637,0.5880397676229263
2,ascending,visual_centrifugal,1623,932,0.574245224892175
2,ascending,visual_projection,1971,1100,0.5580923389142567
2,central,ascending,25690,19872,0.7735305566368237
2,central,central,3329323,2329974,0.6998341704905171
2,central,descending,133901,74397,0.5556119819866917
2,central,endocrine,2950,1891,0.6410169491525424
2,central,motor,7277,3348,0.46007970317438507
2,central,optic,554,445,0.8032490974729242
2,central,sensory,48488,32452,0.6692789968652038
2,central,sensory_ascending,875,675,0.7714285714285715
2,central,unknown,661844,431322,0.6516973788385179
2,central,visual_centrifugal,16473,10374,0.629757785467128
2,central,visual_projection,65621,44649,0.6804071867237622
2,descending,ascending,4476,3602,0.8047363717605005
2,descending,central,63159,44276,0.7010243987396887
2,descending,descending,25508,15235,0.5972636035753489
2,descending,endocrine,117,67,0.5726495726495726
2,descending,motor,2871,1414,0.492511320097527
2,descending,optic,159,148,0.9308176100628931
2,descending,sensory,3169,2181,0.6882297254654465
2,descending,sensory_ascending,178,126,0.7078651685393258
2,descending,unknown,20822,14089,0.6766400922101623
2,descending,visual_centrifugal,1012,707,0.6986166007905138
2,descending,visual_projection,1406,1248,0.887624466571835
2,endocrine,ascending,12,11,0.9166666666666666
2,endocrine,central,305,286,0.9377049180327869
2,endocrine,descending,39,33,0.8461538461538461
2,endocrine,endocrine,48,46,0.9583333333333334
2,endocrine,motor,9,7,0.7777777777777778
2,endocrine,sensory,5,4,0.8
2,endocrine,sensory_ascending,1,1,1.0
2,endocrine,unknown,73,65,0.8904109589041096
2,motor,ascending,30,30,1.0
2,motor,central,1724,1349,0.7824825986078886
2,motor,descending,339,312,0.9203539823008849
2,motor,endocrine,4,4,1.0
2,motor,motor,265,189,0.7132075471698113
2,motor,sensory,52,38,0.7307692307692307
2,motor,sensory_ascending,6,6,1.0
2,motor,unknown,404,317,0.7846534653465347
2,motor,visual_centrifugal,7,6,0.8571428571428571
2,motor,visual_projection,5,5,1.0
2,optic,ascending,93,83,0.8924731182795699
2,optic,central,2010,1516,0.7542288557213931
2,optic,descending,805,521,0.6472049689440994
2,optic,motor,2,2,1.0
2,optic,optic,3108265,2123047,0.6830328173434376
2,optic,sensory,3955,3497,0.8841972187104931
2,optic,sensory_ascending,6,3,0.5
2,optic,unknown,1536441,997954,0.6495231512306688
2,optic,visual_centrifugal,12031,10324,0.8581165322915801
2,optic,visual_projection,768162,493499,0.6424413079532703
2,sensory,ascending,13680,9434,0.6896198830409357
2,sensory,central,110093,69466,0.6309756296948943
2,sensory,descending,17984,11233,0.6246107651245552
2,sensory,endocrine,91,47,0.5164835164835165
2,sensory,motor,835,447,0.5353293413173653
2,sensory,optic,7768,3805,0.48983007209062823
2,sensory,sensory,30378,27790,0.9148067680558298
2,sensory,sensory_ascending,53,43,0.8113207547169812
2,sensory,unknown,59793,38579,0.6452093054370913
2,sensory,visual_centrifugal,299,272,0.9096989966555183
2,sensory,visual_projection,1177,722,0.6134239592183517
2,sensory_ascending,ascending,983,533,0.5422177009155646
2,sensory_ascending,central,7469,5012,0.6710402999062793
2,sensory_ascending,descending,1597,1172,0.7338760175328741
2,sensory_ascending,endocrine,60,38,0.6333333333333333
2,sensory_ascending,motor,535,343,0.6411214953271028
2,sensory_ascending,optic,3,3,1.0
2,sensory_ascending,sensory,52,49,0.9423076923076923
2,sensory_ascending,sensory_ascending,1180,894,0.7576271186440678
2,sensory_ascending,unknown,1679,1143,0.680762358546754
2,sensory_ascending,visual_centrifugal,34,32,0.9411764705882353
2,unknown,ascending,9237,7114,0.7701634729890657
2,unknown,central,712008,460141,0.6462581881102459
2,unknown,descending,39616,22660,0.5719911147011308
2,unknown,endocrine,622,442,0.7106109324758842
2,unknown,motor,1863,990,0.5314009661835749
2,unknown,optic,1461577,999872,0.6841049086021469
2,unknown,sensory,34752,22583,0.649833103130755
2,unknown,sensory_ascending,243,188,0.7736625514403292
2,unknown,unknown,842470,555609,0.659500041544506
2,unknown,visual_centrifugal,12544,9085,0.724250637755102
2,unknown,visual_projection,334230,225208,0.6738114472070131
2,visual_centrifugal,ascending,112,90,0.8035714285714286
2,visual_centrifugal,central,7937,5841,0.735920372936878
2,visual_centrifugal,descending,869,537,0.61795166858458
2,visual_centrifugal,motor,7,6,0.8571428571428571
2,visual_centrifugal,optic,40110,25889,0.6454500124657193
2,visual_centrifugal,sensory,315,184,0.5841269841269842
2,visual_centrifugal,sensory_ascending,1,1,1.0
2,visual_centrifugal,unknown,22382,14245,0.6364489321776428
2,visual_centrifugal,visual_centrifugal,1341,1024,0.7636092468307233
2,visual_centrifugal,visual_projection,19293,12063,0.6252526823200124
2,visual_projection,ascending,763,663,0.8689384010484927
2,visual_projection,central,245586,140145,0.570655493391317
2,visual_projection,descending,12251,5593,0.45653416047669576
2,visual_projection,endocrine,7,7,1.0
2,visual_projection,motor,65,36,0.5538461538461539
2,visual_projection,optic,164038,137046,0.8354527609456346
2,visual_projection,sensory,144,127,0.8819444444444444
2,visual_projection,unknown,207491,146447,0.7057992876799476
2,visual_projection,visual_centrifugal,8311,5783,0.6958248104921189
2,visual_projection,visual_projection,199398,160875,0.8068034784701953
5,ascending,ascending,11782,10426,0.8849091835002546
5,ascending,central,117295,90432,0.7709791551217017
5,ascending,descending,25701,19204,0.7472082798334695
5,ascending,endocrine,344,269,0.7819767441860465
5,ascending,motor,1358,1010,0.7437407952871871
5,ascending,optic,302,299,0.9900662251655629
5,ascending,sensory,6400,5760,0.9
5,ascending,sensory_ascending,711,527,0.7412095639943741
5,ascending,unknown,33394,25834,0.7736120261124753
5,ascending,visual_centrifugal,1623,1250,0.7701786814540974
5,ascending,visual_projection,1971,1492,0.7569761542364282
5,central,ascending,25690,23088,0.8987154534838458
5,central,central,3329323,2859375,0.8588457773547354
5,central,descending,133901,98500,0.7356181059140708
5,central,endocrine,2950,2514,0.8522033898305085
5,central,motor,7277,4568,0.6277312079153498
5,central,optic,554,522,0.9422382671480144
5,central,sensory,48488,42340,0.8732057416267942
5,central,sensory_ascending,875,780,0.8914285714285715
5,central,unknown,661844,542727,0.8200225430766163
5,central,visual_centrifugal,16473,13181,0.8001578340314454
5,central,visual_projection,65621,55979,0.8530653296962862
5,descending,ascending,4476,4119,0.9202412868632708
5,descending,central,63159,53755,0.8511059389794012
5,descending,descending,25508,19541,0.7660733887407872
5,descending,endocrine,117,85,0.7264957264957265
5,descending,motor,2871,1929,0.6718913270637409
5,descending,optic,159,158,0.9937106918238994
5,descending,sensory,3169,2869,0.9053329125907226
5,descending,sensory_ascending,178,141,0.7921348314606742
5,descending,unknown,20822,17297,0.8307079051003746
5,descending,visual_centrifugal,1012,879,0.8685770750988142
5,descending,visual_projection,1406,1372,0.9758179231863442
5,endocrine,ascending,12,12,1.0
5,endocrine,central,305,301,0.9868852459016394
5,endocrine,descending,39,36,0.9230769230769231
5,endocrine,endocrine,48,48,1.0
5,endocrine,motor,9,9,1.0
5,endocrine,sensory,5,5,1.0
5,endocrine,sensory_ascending,1,1,1.0
5,endocrine,unknown,73,66,0.9041095890410958
5,motor,ascending,30,30,1.0
5,motor,central,1724,1525,0.8845707656612529
5,motor,descending,339,331,0.976401179941003
5,motor,endocrine,4,4,1.0
5,motor,motor,265,231,0.8716981132075472
5,motor,sensory,52,47,0.9038461538461539
5,motor,sensory_ascending,6,6,1.0
5,motor,unknown,404,369,0.9133663366336634
5,motor,visual_centrifugal,7,7,1.0
5,motor,visual_projection,5,5,1.0
5,optic,ascending,93,93,1.0
5,optic,central,2010,1859,0.9248756218905473
5,optic,descending,805,720,0.8944099378881988
5,optic,motor,2,2,1.0
5,optic,optic,3108265,2737702,0.8807814005562589
5,optic,sensory,3955,3871,0.9787610619469026
5,optic,sensory_ascending,6,6,1.0
5,optic,unknown,1536441,1305643,0.8497840138345696
5,optic,visual_centrifugal,12031,11725,0.9745657052614081
5,optic,visual_projection,768162,669405,0.8714372749498153
5,sensory,ascending,13680,12350,0.9027777777777778
5,sensory,central,110093,90667,0.8235491811468486
5,sensory,descending,17984,15048,0.8367437722419929
5,sensory,endocrine,91,62,0.6813186813186813
5,sensory,motor,835,604,0.7233532934131737
5,sensory,optic,7768,5331,0.6862770339855818
5,sensory,sensory,30378,29853,0.9827177562709856
5,sensory,sensory_ascending,53,50,0.9433962264150944
5,sensory,unknown,59793,50227,0.840014717441841
5,sensory,visual_centrifugal,299,293,0.979933110367893
5,sensory,visual_projection,1177,996,0.8462192013593883
5,sensory_ascending,ascending,983,696,0.7080366225839267
5,sensory_ascending,central,7469,6340,0.8488418797697148
5,sensory_ascending,descending,1597,1442,0.9029430181590482
5,sensory_ascending,endocrine,60,47,0.7833333333333333
5,sensory_ascending,motor,535,452,0.8448598130841122
5,sensory_ascending,optic,3,3,1.0
5,sensory_ascending,sensory,52,52,1.0
5,sensory_ascending,sensory_ascending,1180,1097,0.9296610169491526
5,sensory_ascending,unknown,1679,1448,0.8624181060154854
5,sensory_ascending,visual_centrifugal,34,33,0.9705882352941176
5,unknown,ascending,9237,8258,0.8940132077514344
5,unknown,central,712008,581348,0.8164908259457759
5,unknown,descending,39616,29767,0.7513883279483037
5,unknown,endocrine,622,563,0.905144694533762
5,unknown,motor,1863,1317,0.7069243156199678
5,unknown,optic,1461577,1289013,0.8819330079770001
5,unknown,sensory,34752,29752,0.8561233885819521
